STT,Năm,Tháng,Ngành Hàng,Thương Hiệu,Tên Chiến Dịch,Loại Chiến Dịch (Campaign Type)
1,2026,Jun,"Non-alcoholic drink","LAVIE","Khởi đầu dịu nhẹ tới lối sống khỏe","Thematic & Brand Building"
2,2026,Jun,"Alcoholic drink","TUBORG","Sao Phải Theo Chuẩn","Thematic & Brand Building"
3,2026,Jun,"Home Care","SURF","Lên Hương Cùng Surf","Thematic & Brand Building"
4,2026,Jun,"Handhelds","SAMSUNG","Galaxy S26 Series","Product Launch & Rebranding"
5,2026,Jun,"Alcoholic drink","MICHELOB ULTRA","Vị Bia Vượt Trội, Xứng Tầm Cuộc Chơi","Thematic & Brand Building"
6,2026,Jun,"Mom & Baby milk","NAN","NAN Supreme Pro 3 - Mùa Mẫn Cảm Không Sao Mẹ Ơi","Thematic & Brand Building"
7,2026,Jun,"Mom & Baby milk","NAN","NAN A2 RTD Promotion","Promotion"
8,2026,Jun,"Energy drink","STING","StingxF1","Thematic & Brand Building"
9,2026,Jun,"Non-alcoholic drink","7UP","7UP Siêu Siêu Sảng Khoái","Thematic & Brand Building"
10,2026,Jun,"Instant Foods","SIUKAY","Ngon Tan Chảy Cay Bùng Cháy Cân Mọi Tọa Độ","Thematic & Brand Building"
11,2026,Jun,"Medicine & Pharmaceutical","LONG CHÂU","HIEUTHUHAI - Vì dự phòng sức khỏe là thứ nhất","CSR & Sustainability"
12,2026,Jun,"Home Care","OMO","OMO Siêu Tốc - Sạch Vượt Trội chỉ trong 15 Phút","Thematic & Brand Building"
13,2026,Jun,"Personal Care","LIFEBUOY","Loi choi đi muôn nơi","Thematic & Brand Building"
14,2026,Jun,"Liquid Milk","MILO","MILO Ống hút 4 Chiều","Thematic & Brand Building"
15,2026,Jun,"Alcoholic drink","BIA HÀ NỘI","Hanoi Premium Campaign (ra mắt lon dài mới)","Product Launch & Rebranding"
16,2026,Jun,"Real Estate","KEPPEL LAND","Hanoi Centre","Thematic & Brand Building"
17,2026,May,"Energy drink","STING","Sting F1","Thematic & Brand Building"
18,2026,May,"Handhelds","OPPO","OPPO X9 Ultra & Find X9S_OPPO X9 Ultra & Find X9S","Product Launch & Rebranding"
19,2026,May,"Mom & Baby milk","NUTREN JUNIOR","Ngày Hội Thôi Nôi","Thematic & Brand Building"
20,2026,May,"Mom & Baby milk","NAN","Mùa Mẫn Cảm - Không Sao Mẹ Ơi","Thematic & Brand Building"
21,2026,May,"Handhelds","SAMSUNG","Galaxy A57 5G","Thematic & Brand Building"
22,2026,May,"Handhelds","SAMSUNG","Galaxy A37 5G","Thematic & Brand Building"
23,2026,May,"Liquid Milk","DUTCH LADY","Dutch Lady OmegaSmart","Thematic & Brand Building"
24,2026,May,"Home Care","OMO","OMO Siêu Tốc - Sạch Vượt Trội chỉ 15 Phút","Thematic & Brand Building"
25,2026,May,"Handhelds","SAMSUNG","Galaxy S26 Series","Product Launch & Rebranding"
26,2026,May,"Alcoholic drink","TIGER","Bật Lon Cool Pack, Săn Tiger Vàng","Promotion"
27,2026,May,"Instant Foods","OMACHI","Omachi Lẩu Tam Hoa","Thematic & Brand Building"
28,2026,May,"Insurance","MANULIFE","Xanh Phú Quý","Thematic & Brand Building"
29,2026,May,"Real Estate","KEPPEL LAND","Hanoi Centre","Thematic & Brand Building"
30,2026,May,"F&B","JOLLIBEE","Hoạt động Mở Ra Niềm Vui","Thematic & Brand Building"
31,2026,May,"Alcoholic drink","MICHELOB ULTRA","Michelob ULTRA Launching Campaign","Product Launch & Rebranding"
32,2026,May,"Alcoholic drink","TIGER","Tiger Êm Mới","Product Launch & Rebranding"
33,2026,May,"Alcoholic drink","1664 BLANC","Săn Chạng Vạng, Thăng Hạng Gu Chất","Promotion"
34,2026,May,"Mom & Baby milk","COLOSBABY","ColosBaby Gold Pedia ""Có gốc đề kháng khỏe - Cứ thể mà lớn thôi""","Thematic & Brand Building"
35,2026,May,"Alcoholic drink","LARUE","Lên Larue Vui Tròn Cuộc Vui","Thematic & Brand Building"
36,2026,May,"Mom & Baby milk","HIKID","Korea Trust Journey 2026","Thematic & Brand Building"
37,2026,May,"Alcoholic drink","HEINEKEN","Fans Have More Friends","Thematic & Brand Building"
